epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.02653,1.99763,4.6319,1.86172,0.00553,0.46474,0.02761,0.01335,1.4363,4.1201,1.39252,0.00026,0.00026,0.00026
2,10.8187,1.64117,3.58063,1.51335,0.00779,0.92946,0.11517,0.05624,1.47761,3.65726,1.39617,0.000524753,0.000524753,0.000524753
3,15.3886,1.63756,2.95528,1.54198,0.95089,0.03467,0.19232,0.10911,1.58786,3.30266,1.4815,0.00078416,0.00078416,0.00078416
4,19.8755,1.60587,2.67985,1.50834,0.75514,0.17493,0.19886,0.09754,1.65184,2.8114,1.55715,0.0009703,0.0009703,0.0009703
5,24.3183,1.54137,2.49438,1.45802,0.82435,0.24656,0.3331,0.19369,1.45419,2.08606,1.46259,0.0009604,0.0009604,0.0009604
6,28.7905,1.49728,2.35698,1.44889,0.59754,0.34682,0.34531,0.20641,1.39564,2.35082,1.46496,0.0009505,0.0009505,0.0009505
7,33.2736,1.46104,2.20961,1.43531,0.63392,0.26448,0.31558,0.20221,1.34602,1.96324,1.39951,0.0009406,0.0009406,0.0009406
8,37.7583,1.41435,2.10942,1.38678,0.66224,0.30083,0.38235,0.22103,1.33744,1.6615,1.37196,0.0009307,0.0009307,0.0009307
9,42.2113,1.41015,2.0393,1.40649,0.87131,0.2811,0.44988,0.2753,1.2718,1.54688,1.36257,0.0009208,0.0009208,0.0009208
10,46.6765,1.37454,1.87356,1.36132,0.8301,0.34467,0.50225,0.30262,1.27055,1.64373,1.30995,0.0009109,0.0009109,0.0009109
11,51.1542,1.31512,1.76809,1.302,0.59316,0.55245,0.52596,0.32836,1.30386,1.30086,1.34697,0.000901,0.000901,0.000901
12,55.6183,1.32834,1.75696,1.3201,0.79671,0.386,0.49463,0.30606,1.26584,1.39534,1.33454,0.0008911,0.0008911,0.0008911
13,60.0431,1.3188,1.69362,1.31633,0.33543,0.5684,0.49744,0.31418,1.25185,1.37927,1.36014,0.0008812,0.0008812,0.0008812
14,64.5432,1.25781,1.6309,1.28543,0.76365,0.52993,0.57583,0.34068,1.26877,1.27625,1.34219,0.0008713,0.0008713,0.0008713
15,68.9964,1.27465,1.57135,1.2896,0.50976,0.71891,0.59582,0.35357,1.25819,1.24668,1.31501,0.0008614,0.0008614,0.0008614
16,73.3972,1.24521,1.55168,1.2772,0.78961,0.52902,0.57005,0.3491,1.19261,1.20079,1.31067,0.0008515,0.0008515,0.0008515
17,77.8264,1.23193,1.51782,1.28152,0.90468,0.49353,0.61649,0.38862,1.21476,1.20541,1.30452,0.0008416,0.0008416,0.0008416
18,82.2944,1.20951,1.47038,1.25035,0.6984,0.51867,0.5349,0.30319,1.22547,1.42139,1.28247,0.0008317,0.0008317,0.0008317
19,86.7526,1.20926,1.44483,1.2541,0.47824,0.46268,0.49182,0.29827,1.21333,1.41952,1.28814,0.0008218,0.0008218,0.0008218
20,91.2233,1.17415,1.39206,1.21902,0.5001,0.50341,0.54717,0.34525,1.24504,1.21877,1.29392,0.0008119,0.0008119,0.0008119
21,95.6332,1.19979,1.3923,1.23166,0.31544,0.6156,0.46198,0.30331,1.13837,1.39954,1.21918,0.000802,0.000802,0.000802
22,100.027,1.18035,1.33394,1.2184,0.53911,0.47864,0.56741,0.37316,1.14631,1.16377,1.23225,0.0007921,0.0007921,0.0007921
23,104.487,1.16018,1.26434,1.199,0.44619,0.57469,0.57382,0.36029,1.20262,1.14253,1.2724,0.0007822,0.0007822,0.0007822
24,109.006,1.14214,1.2439,1.19512,0.54072,0.6179,0.55491,0.35573,1.18245,1.13928,1.23795,0.0007723,0.0007723,0.0007723
25,113.396,1.12186,1.20473,1.18345,0.59392,0.71298,0.63585,0.41273,1.10973,1.00357,1.22081,0.0007624,0.0007624,0.0007624
26,117.878,1.10874,1.23961,1.17876,0.64473,0.70784,0.67405,0.40208,1.12729,1.04913,1.25191,0.0007525,0.0007525,0.0007525
27,122.355,1.10974,1.18471,1.18504,0.65447,0.51592,0.59971,0.37374,1.14399,1.09016,1.24214,0.0007426,0.0007426,0.0007426
28,126.81,1.09326,1.18615,1.15983,0.37049,0.81645,0.58014,0.33108,1.1878,1.0962,1.26337,0.0007327,0.0007327,0.0007327
29,131.248,1.05785,1.11503,1.14294,0.62999,0.75288,0.68903,0.39322,1.1497,1.06913,1.24561,0.0007228,0.0007228,0.0007228
30,135.738,1.07598,1.13798,1.15677,0.58225,0.61742,0.76888,0.47325,1.11042,1.06668,1.23269,0.0007129,0.0007129,0.0007129
31,140.23,1.09532,1.12794,1.16425,0.58068,0.74688,0.80877,0.46147,1.15883,1.01108,1.25309,0.000703,0.000703,0.000703
32,144.695,1.08527,1.07808,1.1459,0.46439,0.74231,0.60397,0.37541,1.17372,1.09514,1.26684,0.0006931,0.0006931,0.0006931
33,149.101,1.05313,1.10391,1.15697,0.60112,0.6555,0.70743,0.42796,1.16388,1.07483,1.24284,0.0006832,0.0006832,0.0006832
34,153.599,1.02345,1.00098,1.11695,0.68144,0.60954,0.70612,0.43924,1.15439,1.02669,1.25195,0.0006733,0.0006733,0.0006733
35,158.084,1.01777,1.00798,1.12929,0.6314,0.72202,0.70477,0.47792,1.10225,0.97187,1.23185,0.0006634,0.0006634,0.0006634
36,162.596,1.01743,1.02384,1.12409,0.53067,0.78699,0.70821,0.41767,1.11668,1.00719,1.22906,0.0006535,0.0006535,0.0006535
37,167.031,1.02115,1.01526,1.12015,0.48412,0.89125,0.6523,0.40403,1.11943,1.00666,1.23916,0.0006436,0.0006436,0.0006436
38,171.494,1.04682,1.01008,1.12828,0.53497,0.7451,0.65302,0.39782,1.19294,1.04582,1.27903,0.0006337,0.0006337,0.0006337
39,175.966,1.05502,1.03239,1.13456,0.5259,0.78813,0.6978,0.41559,1.12729,1.08984,1.25115,0.0006238,0.0006238,0.0006238
40,180.445,1.01303,0.95557,1.10222,0.66248,0.81276,0.81596,0.4783,1.10516,0.91032,1.24451,0.0006139,0.0006139,0.0006139
41,184.879,1.00459,0.99582,1.11834,0.48866,0.85016,0.84617,0.52477,1.144,0.93381,1.26285,0.000604,0.000604,0.000604
42,189.356,0.98074,0.95322,1.10497,0.61201,0.71691,0.70984,0.48494,1.13857,0.96708,1.24235,0.0005941,0.0005941,0.0005941
43,193.848,0.96195,0.90825,1.08768,0.79067,0.66085,0.79867,0.50994,1.14708,0.98698,1.26099,0.0005842,0.0005842,0.0005842
44,198.315,0.96267,0.93068,1.08735,0.56148,0.8009,0.80699,0.50995,1.13514,0.93592,1.24102,0.0005743,0.0005743,0.0005743
45,202.74,0.97902,0.89982,1.10928,0.58083,0.63787,0.70932,0.42264,1.14428,0.99331,1.25662,0.0005644,0.0005644,0.0005644
46,207.194,0.94653,0.89339,1.08511,0.44217,0.77973,0.67148,0.435,1.11739,0.92422,1.23686,0.0005545,0.0005545,0.0005545
47,211.624,0.94967,0.91124,1.08956,0.70399,0.58903,0.70275,0.42301,1.09363,0.96098,1.21133,0.0005446,0.0005446,0.0005446
48,215.961,0.9399,0.85942,1.08769,0.48282,0.60787,0.63641,0.40693,1.09355,0.95598,1.22916,0.0005347,0.0005347,0.0005347
49,218.478,0.91163,0.84748,1.06139,0.66023,0.57871,0.69284,0.4158,1.10583,0.97252,1.26981,0.0005248,0.0005248,0.0005248
50,222.826,0.93618,0.88069,1.08115,0.52421,0.70325,0.68136,0.40997,1.10068,1.03213,1.22689,0.0005149,0.0005149,0.0005149
